,Appling,Atkinson,Bacon,Baker,Baldwin,Banks,Barrow,Bartow,Ben Hill,Ben_Hill,Berrien,Bibb,Bleckley,Brantley,Brooks,Bryan,Bulloch,Burke,Butts,Calhoun,Camden,Candler,Carroll,Catoosa,Charlton,Chatham,Chattahoochee,Chattooga,Cherokee,Clarke,Clay,Clayton,Clinch,Cobb,Coffee,Colquitt,Columbia,Cook,County_Summary,Coweta,Crawford,Crisp,Dade,Dawson,DeKalb,Decatur,Dodge,Dooly,Dougherty,Douglas,Early,Echols,Effingham,Elbert,Emanuel,Evans,Fannin,Fayette,Floyd,Forsyth,Franklin,Fulton,Georgia,Gilmer,Glascock,Glynn,Gordon,Grady,Greene,Gwinnett,Habersham,Hall,Hancock,Haralson,Harris,Hart,Heard,Henry,Houston,Irwin,Jackson,Jasper,Jeff Davis,Jeff_Davis,Jefferson,Jenkins,Johnson,Jones,Lamar,Lanier,Laurens,Lee,Liberty,Lincoln,Long,Lowndes,Lumpkin,Macon,Madison,Marion,McDuffie,McIntosh,Meriwether,Miller,Mitchell,Monroe,Montgomery,Morgan,Murray,Muscogee,Newton,Oconee,Oglethorpe,Paulding,Peach,Pickens,Pierce,Pike,Polk,Pulaski,Putnam,Quitman,Rabun,Randolph,Richmond,Rockdale,Schley,Screven,Seminole,Spalding,Stephens,Stewart,Sumter,Talbot,Taliaferro,Tattnall,Taylor,Telfair,Terrell,Thomas,Tift,Toombs,Towns,Treutlen,Troup,Turner,Twiggs,Union,Upson,Walker,Walton,Ware,Warren,Washington,Wayne,Webster,Wheeler,White,Whitfield,Wilcox,Wilkes,Wilkinson,Worth,Year
Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999.0
Death_Rate,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,5.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,3.5,0.0,0.0,5.8,,0.0,4.8,,4.8,,0.0,,0.0,3.4,5.8,0.0,,0.0,0.0,3.7,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,7.8,,,4.6,3.4,0.0,0.0,,13.8,0.0,0.0,1.9,,,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,11.2,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.7,,0.0,0.0,6.4,0.0,,,,,,0.0,0.0,,0.0,3.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,1999.0
Age_Adjusted_Death_Rate,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,5.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,3.5,0.0,0.0,4.9,,0.0,5.2,,4.6,,0.0,,0.0,3.4,5.4,0.0,,0.0,0.0,3.5,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,8.1,,,4.5,3.4,0.0,0.0,,13.8,0.0,0.0,2.0,,,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,11.4,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,5.8,0.0,,,,,,0.0,0.0,,0.0,3.1,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,1999.0
Pct_Deathsby_Cause,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.4,0.0,0.0,1.0,,0.0,0.9,,0.9,,0.0,,0.0,0.4,0.8,0.0,,0.0,0.0,0.6,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,0.7,,,0.6,0.4,0.0,0.0,,1.7,0.0,0.0,0.5,,,0.0,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,1.1,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.3,,0.0,0.0,1.3,0.0,,,,,,0.0,0.0,,0.0,0.3,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,1999.0
Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0
Death_Rate,,0.0,0.0,0.0,,,10.7,11.7,,,,3.9,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,2.2,0.0,,7.0,,0.0,5.5,,5.1,,,,0.0,4.7,7.8,,,0.0,0.0,3.6,0.0,,0.0,5.2,5.4,0.0,0.0,0.0,,0.0,0.0,0.0,,13.2,5.0,0.0,6.9,4.7,,0.0,,,,,4.2,,3.5,0.0,,,,0.0,4.9,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,4.8,,0.0,0.0,6.0,,,,,,0.0,0.0,0.0,,0.0,3.5,9.9,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2000.0
Age_Adjusted_Death_Rate,,0.0,0.0,0.0,,,9.5,11.4,,,,3.8,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,2.3,0.0,,6.5,,0.0,5.4,,4.6,,,,0.0,4.6,7.3,,,0.0,0.0,3.9,0.0,,0.0,5.5,4.9,0.0,0.0,0.0,,0.0,0.0,0.0,,13.5,4.7,0.0,6.6,4.6,,0.0,,,,,4.0,,3.6,0.0,,,,0.0,4.4,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,5.0,,0.0,0.0,8.2,,,,,,0.0,0.0,0.0,,0.0,3.6,9.9,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2000.0
Pct_Deathsby_Cause,,0.0,0.0,0.0,,,1.3,1.4,,,,0.4,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,0.2,0.0,,1.2,,0.0,1.0,,1.0,,,,0.0,0.6,1.1,,,0.0,0.0,0.6,0.0,,0.0,0.6,0.9,0.0,0.0,0.0,,0.0,0.0,0.0,,1.2,0.9,0.0,0.9,0.6,,0.0,,,,,1.1,,0.5,0.0,,,,0.0,0.8,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.5,,0.0,0.0,1.1,,,,,,0.0,0.0,0.0,,0.0,0.4,1.4,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,,0.0,,,,,0.0,,,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,2000.0
Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.0
Death_Rate,,0.0,,0.0,,0.0,10.4,15.0,,0.0,0.0,9.8,0.0,,0.0,0.0,,0.0,,0.0,0.0,,12.1,,0.0,4.3,0.0,,,,0.0,7.7,,5.8,,,8.6,,5.9,,,0.0,,0.0,4.8,0.0,,0.0,,7.3,0.0,0.0,,,,,,,9.9,5.5,,9.5,5.9,,0.0,,,0.0,0.0,4.7,,3.4,,,,21.7,,5.3,5.3,,,,,,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,,,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,13.3,4.3,10.5,0.0,0.0,,,,,0.0,,0.0,,0.0,,0.0,3.5,,0.0,0.0,0.0,13.6,,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,9.4,,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,,,0.0,2001.0
